gender0,gender1,gender2,enrolled_university0,enrolled_university1,education_level0,education_level1,education_level2,education_level3,major_discipline0,major_discipline1,major_discipline2,major_discipline3,major_discipline4,company_type0,company_type1,company_type2,company_type3,company_type4,city_development_index,enrollee_id,city,relevent_experience,experience,last_new_job,training_hours,target,min_company_size,max_company_size,avg_company_size,is_avg_nan,avg_comp_size_cat
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228780819698046,8949,city_103,1,21,1,36,1.0,,,74.5,True,3
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4563674972861354,29725,city_40,0,15,5,47,0.0,50.0,99.0,74.5,False,3
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7011267198340703,11561,city_21,0,5,0,83,0.0,,,74.5,True,3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5300703459896308,666,city_162,1,21,4,8,0.0,50.0,99.0,74.5,False,3
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5546379622241295,21651,city_176,1,11,1,24,1.0,,,74.5,True,3
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7228780819698046,28806,city_160,1,5,1,24,0.0,50.0,99.0,74.5,False,3
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5710163730471287,402,city_46,1,13,5,18,1.0,1.0,10.0,5.5,False,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228780819698046,27107,city_103,1,7,1,46,1.0,50.0,99.0,74.5,False,3
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228780819698046,699,city_103,1,17,5,123,0.0,10000.0,20000.0,15000.0,False,8
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7011267198340703,29452,city_21,0,2,0,32,1.0,,,74.5,True,3
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228780819698046,23853,city_103,1,5,1,108,0.0,5000.0,9999.0,7499.5,False,7
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6655536440893067,25619,city_61,1,21,3,23,0.0,1000.0,4999.0,2999.5,False,6
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7011267198340703,8722,city_21,0,5,0,26,0.0,,,74.5,True,3
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7720133144388013,6588,city_114,1,16,5,18,0.0,10.0,49.0,29.5,False,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228780819698046,4167,city_103,1,1,0,106,0.0,50.0,99.0,74.5,False,3
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7011267198340703,5764,city_21,1,2,2,7,0.0,5000.0,9999.0,7499.5,False,7
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7011267198340703,2156,city_21,1,7,0,23,1.0,10000.0,20000.0,15000.0,False,8
